------------------------------------------------------------------------------
File Creation Date/Time: 24 Dec 2024 19:52:32
Block Name: ExtEvent1 (SBF)

TOW [s],WNc [w],Source,Polarity,Offset [s],Offset_TOW,RxClkBias [s],PVTAge [s]
339861.002,2343,EventA,rising edge event,0.0008,339861.002751,0.000031291,0
339865.016,2343,EventA,rising edge event,0.0001,339865.016061,0.000031390,0
339869.542,2343,EventA,rising edge event,0.0010,339869.542969,0.000031501,0
339873.405,2343,EventA,rising edge event,0.0004,339873.405388,0.000031596,0
339878.031,2343,EventA,rising edge event,0.0002,339878.031215,0.000031709,0
339884.048,2343,EventA,rising edge event,0.0002,339884.048188,0.000031860,0
339888.055,2343,EventA,rising edge event,0.0001,339888.055081,0.000031960,0
339891.396,2343,EventA,rising edge event,0.0005,339891.396496,0.000032045,0
339896.100,2343,EventA,rising edge event,0.0004,339896.100413,0.000032165,1
339902.610,2343,EventA,rising edge event,0.0006,339902.610571,0.000032323,0
339910.285,2343,EventA,rising edge event,0.0003,339910.285256,0.000032555,0
339915.190,2343,EventA,rising edge event,0.0007,339915.190652,0.000032683,0
339920.615,2343,EventB,rising edge event,0.0010,339920.615993,0.000032822,0
339925.136,2343,EventA,rising edge event,0.0008,339925.136844,0.000032936,0
339931.353,2343,EventA,rising edge event,0.0000,339931.353002,0.000033061,0
339938.429,2343,EventA,rising edge event,0.0005,339938.429451,0.000033236,0
339945.853,2343,EventA,rising edge event,0.0004,339945.853406,0.000033415,0
339952.212,2343,EventA,rising edge event,0.0010,339952.212997,0.000033573,0
339956.816,2343,EventA,rising edge event,0.0009,339956.816935,0.000033685,0
339962.281,2343,EventA,rising edge event,0.0002,339962.281210,0.000033817,0
339967.216,2343,EventA,rising edge event,0.0009,339967.216889,0.000033937,0
339972.985,2343,EventA,rising edge event,0.0008,339972.985755,0.000034074,0
339977.564,2343,EventA,rising edge event,0.0000,339977.564044,0.000034183,0
339981.197,2343,EventA,rising edge event,0.0010,339981.197986,0.000034267,0
339987.313,2343,EventA,rising edge event,0.0003,339987.313330,0.000034406,0
339991.309,2343,EventA,rising edge event,0.0008,339991.309770,0.000034498,0
339995.685,2343,EventA,rising edge event,0.0009,339995.685852,0.000034596,0
339999.646,2343,EventA,rising edge event,0.0000,339999.646020,0.000034686,0
340003.182,2343,EventA,rising edge event,0.0001,340003.182126,0.000034768,0
340007.098,2343,EventA,rising edge event,0.0005,340007.098489,0.000034859,0
340010.311,2343,EventA,rising edge event,0.0008,340010.311767,0.000034969,0
340015.248,2343,EventA,rising edge event,0.0003,340015.248253,0.000035048,0
340018.237,2343,EventA,rising edge event,0.0009,340018.237873,0.000035114,0
340022.464,2343,EventA,rising edge event,0.0006,340022.464611,0.000035209,0
340026.022,2343,EventA,rising edge event,0.0001,340026.022081,0.000035287,0
340029.701,2343,EventA,rising edge event,0.0002,340029.701179,0.000035365,0
340035.428,2343,EventA,rising edge event,0.0007,340035.428727,0.000035492,0
340040.618,2343,EventA,rising edge event,0.0001,340040.618100,0.000035608,0
340050.550,2343,EventA,rising edge event,0.0001,340050.550065,0.000035831,0
340054.756,2343,EventA,rising edge event,0.0000,340054.756043,0.000035922,0
340057.818,2343,EventA,rising edge event,0.0006,340057.818618,0.000035991,0
340062.089,2343,EventA,rising edge event,0.0007,340062.089682,0.000036084,0
340066.810,2343,EventA,rising edge event,0.0001,340066.810093,0.000036182,0
340070.205,2343,EventA,rising edge event,0.0009,340070.205854,0.000036254,0
340074.542,2343,EventA,rising edge event,0.0007,340074.542662,0.000036347,0
340079.426,2343,EventA,rising edge event,0.0007,340079.426741,0.000036456,0
340082.862,2343,EventA,rising edge event,0.0001,340082.862083,0.000036529,0
340086.610,2343,EventA,rising edge event,0.0000,340086.610027,0.000036611,0
340091.265,2343,EventA,rising edge event,0.0006,340091.265631,0.000036712,0
340095.241,2343,EventA,rising edge event,0.0006,340095.241649,0.000036799,0
340099.606,2343,EventA,rising edge event,0.0007,340099.606716,0.000036895,0
340103.385,2343,EventA,rising edge event,0.0003,340103.385289,0.000036977,0
340107.383,2343,EventA,rising edge event,0.0007,340107.383730,0.000037064,0
340107.522,2343,EventA,rising edge event,0.0008,340107.522789,0.000037067,0
340110.716,2343,EventA,rising edge event,0.0004,340110.716415,0.000037137,0
340114.627,2343,EventA,rising edge event,0.0005,340114.627453,0.000037223,0
340118.502,2343,EventA,rising edge event,0.0006,340118.502625,0.000037309,0
340122.467,2343,EventA,rising edge event,0.0002,340122.467182,0.000037397,0
340127.647,2343,EventA,rising edge event,0.0008,340127.647803,0.000037509,0
340132.914,2343,EventA,rising edge event,0.0002,340132.914206,0.000037620,0
340137.235,2343,EventA,rising edge event,0.0003,340137.235317,0.000037723,0
340141.410,2343,EventA,rising edge event,0.0007,340141.410655,0.000037805,0
340145.210,2343,EventA,rising edge event,0.0001,340145.210112,0.000037882,0
340149.158,2343,EventA,rising edge event,0.0002,340149.158190,0.000037964,0
340152.361,2343,EventA,rising edge event,0.0007,340152.361678,0.000038030,0
340155.966,2343,EventA,rising edge event,0.0008,340155.966819,0.000038104,0
340159.608,2343,EventA,rising edge event,0.0001,340159.608136,0.000038178,0
340163.258,2343,EventA,rising edge event,0.0004,340163.258360,0.000038253,0
340167.524,2343,EventA,rising edge event,0.0004,340167.524357,0.000038340,0
340171.673,2343,EventA,rising edge event,0.0007,340171.673726,0.000038424,0
340175.883,2343,EventA,rising edge event,0.0001,340175.883108,0.000038514,0
340180.312,2343,EventA,rising edge event,0.0005,340180.312503,0.000038613,0
340184.458,2343,EventA,rising edge event,0.0005,340184.458513,0.000038695,0
340188.183,2343,EventA,rising edge event,0.0002,340188.183199,0.000038771,0
340191.222,2343,EventA,rising edge event,0.0005,340191.222496,0.000038834,0
340194.350,2343,EventA,rising edge event,0.0000,340194.350022,0.000038898,0
340198.368,2343,EventA,rising edge event,0.0007,340198.368749,0.000039026,0
340202.388,2343,EventA,rising edge event,0.0005,340202.388509,0.000039113,0
340206.470,2343,EventA,rising edge event,0.0008,340206.470836,0.000039165,0
340210.617,2343,EventA,rising edge event,0.0007,340210.617676,0.000039256,0
340214.832,2343,EventA,rising edge event,0.0006,340214.832625,0.000039346,0
340218.902,2343,EventA,rising edge event,0.0005,340218.902505,0.000039434,0
340222.372,2343,EventA,rising edge event,0.0007,340222.372664,0.000039509,0
340226.555,2343,EventA,rising edge event,0.0002,340226.555196,0.000039638,0
340231.316,2343,EventA,rising edge event,0.0000,340231.316044,0.000039706,0
340234.728,2343,EventA,rising edge event,0.0001,340234.728082,0.000039778,0
340238.331,2343,EventA,rising edge event,0.0010,340238.331976,0.000039856,0
340242.383,2343,EventA,rising edge event,0.0008,340242.383838,0.000039942,0
340245.914,2343,EventA,rising edge event,0.0004,340245.914419,0.000040020,0
340249.142,2343,EventA,rising edge event,0.0010,340249.142967,0.000040088,0
340252.835,2343,EventA,rising edge event,0.0005,340252.835487,0.000040167,0
340257.857,2343,EventA,rising edge event,0.0001,340257.857135,0.000040275,0
340261.843,2343,EventA,rising edge event,0.0007,340261.843725,0.000040363,0
340264.510,2343,EventA,rising edge event,0.0001,340264.510115,0.000040420,0
340264.575,2343,EventA,rising edge event,0.0009,340264.575864,0.000040422,0
340268.343,2343,EventA,rising edge event,0.0003,340268.343297,0.000040503,0
340272.144,2343,EventA,rising edge event,0.0006,340272.144599,0.000040586,0
340277.330,2343,EventA,rising edge event,0.0005,340277.330530,0.000040699,0
340280.751,2343,EventA,rising edge event,0.0005,340280.751469,0.000040776,0
340293.285,2343,EventA,rising edge event,0.0000,340293.285034,0.000041060,0
340297.692,2343,EventA,rising edge event,0.0008,340297.692775,0.000041162,0
340301.237,2343,EventA,rising edge event,0.0004,340301.237425,0.000041246,0
340305.146,2343,EventA,rising edge event,0.0000,340305.146042,0.000041339,0
340307.750,2343,EventA,rising edge event,0.0005,340307.750462,0.000041400,0
340311.154,2343,EventA,rising edge event,0.0003,340311.154271,0.000041480,0
340319.159,2343,EventA,rising edge event,0.0008,340319.159766,0.000041668,0
340734.567,2343,EventA,rising edge event,0.0006,340734.567596,0.000050910,0
340738.442,2343,EventA,rising edge event,0.0003,340738.442337,0.000050992,0
340741.364,2343,EventA,rising edge event,0.0010,340741.364993,0.000051054,0
340744.505,2343,EventA,rising edge event,0.0010,340744.505969,0.000051120,0
340747.142,2343,EventA,rising edge event,0.0005,340747.142464,0.000051175,0
340749.599,2343,EventA,rising edge event,0.0002,340749.599201,0.000051225,0
